title,network,country,classification,start_date,seasons,status,rating,votes,cast,description,tv_comedies,crime_tv_shows,tv_dramas,docuseries,teen_tv_shows,tv_horror,kids_tv,romantic_tv_shows,science_nature_tv,british_tv_shows,tv_action_adventure,anime_series,reality_tv,tv_mysteries,tv_scifi_fantasy
Transformers: Robots in Disguise,Cartoon Network,US,TV-Y7,2015-03-14,1,Ended,6.0,822,"Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen","When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No Tomorrow,The CW,US,TV-14,2016-10-04,1,Ended,7.2,4684,"Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz","Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot.",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Frequency,The CW,US,TV-14,2016-10-05,1,Ended,7.5,12563,"Peyton List, Riley Smith, Mekhi Phifer, Devin Kelley, Lenny Jacobson, Daniel Bonjour, Anthony Ruivivar","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Adam Ruins Everything,truTV,US,TV-14,2015-09-29,1,Ended,8.0,6108,"Adam Conover, Adam Lustick, Emily Axford","Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben 10,Cartoon Network,US,TV-Y7,2005-12-27,1,Ended,7.2,12412,"Tara Strong, Montse Hernandez, David Kaye, Roger Craig Smith, Todd Haberkorn, Dwight Schultz, Daryl Sabara",Ben can transform into ten types of aliens. He'll try 'em all while adventuring across the country with his cousin Gwen and Grandpa Max.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Royal House of Windsor,Channel 4,GB,TV-14,2017-02-22,1,Ended,7.4,906,Unknown,"Drawing on newly available info, this show traces how the British royal family has survived the last 100 years of power struggles, politics and more.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Lovesick,Netflix,UK,TV-14,2014-10-02,1,Ended,8.1,15245,"Kongyingyong Chonlathorn, Phumphothingam Nawat, Luangsodsai Anupart, Nuchanart Veerakaarn, Chindavanich Primrose, Charnmanoon Pannin, Nungira Hanwutinanon, Ausavaterakul Ausavapat, Sirikiet Saejea, Nontapan Chuenwarin",Love and academics get complicated at an all-male college that happens to be located next to an all-female high school.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bard of Blood,Netflix,US,TV-MA,2019-09-27,1,To Be Determined,7.0,8713,"Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain","Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Skylines,Netflix,US,TV-MA,2019-09-27,1,Ended,7.6,2058,"Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal Yıldız, Richy Müller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin Jérôme Schanz, Nimo, Christopher Schärf, Slavko Popadic",A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Politician,Netflix,UK,TV-14,2019-09-27,1,Running,7.6,17253,"Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett",Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Team Kaylie,Netflix,US,TV-PG,2019-09-23,1,Running,4.1,199,"Bryana Salaz, Alison Fernandez, Symera Jackson, Elie Samouhi, Kai Calhoun, Eliza Pryor, Rosa Blasi, Nicole Sullivan, David Gridley","After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hilda,Netflix,US,TV-Y7,2018-09-21,1,To Be Determined,8.6,5726,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson, Daisy Haggard, Rasmus Hardiker","Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Good Cop,Netflix,US,TV-PG,2018-09-21,1,Ended,7.0,4707,"Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.","When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
